video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"A1L6IEYVXSg","안녕하세요 철구입니다. 드디어 전역했습니다...","2020-05-16T03:09:28Z","UCUY0FVprY69TQu5pbho2PNw","철구형 (CHULTUBE)","23","20.18.05","철구|BJ철구|아프리카철구|afreecaTV|아프리카TV|BJ|비제이|인터넷방송|인터넷방송BJ유머방송|개그방송|유머영상|개그영상|게임영상|게임방송|꿀잼|웃긴영상|웃긴방송","2191960","50379","11604","14315","https://i.ytimg.com/vi/A1L6IEYVXSg/default.jpg","False","False","▶구독+좋아요+공유! 앙♥기모띠철구 유튜브 ▶  http://goo.gl/ewip1K철구 아프리카 ▶  http://Afreecatv.com/y1026철구 페이스북 ▶ http://goo.gl/4DC1hG지혜 유튜브 ▶  http://goo.gl/AYZPOl지혜 아프리카 ▶  http://Afreecatv.com/xwx1541지혜 인스타 ▶ http://goo.gl/xrWZmi"
"vIqp0RRedHU","[5/18]허연식,최배근,안진걸,박연미,신장식,양지열,신유진,류밀희│김어준의 뉴스공장","2020-05-18T01:41:55Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.18.05","TBS|김어준|뉴스공장|코로나|클럽코로나|압구정클럽|긴급재난재원금|5.18|광주민주화운동|민주화운동|포스트코로나","363710","25416","483","623","https://i.ytimg.com/vi/vIqp0RRedHU/default.jpg","False","False","-5월18일(월) 김어준의 뉴스공장-◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)◎ 2부[인터뷰 제1공장]5·18 조사위 본격 진상조사 “책임자 역 추적해 실체적 진실 밝힐 것”– 허연식 조사2과장 (5.18민주화운동진상규명조사위원회)[인터뷰 제2공장]美 노동유연성 역효과, 韓 경기선행지수 나홀로 상승- 최배근 교수 (건국대 경제학과)◎ 3부[인터뷰 제3공장]'긴급재난지원금' 사용법 총정리 지원금 취지에 맞는 사용처 확대 필요해- 안진걸 소장 (민생경제연구소)- 박연미 경제평론가◎ 4부[인터뷰 제4 장]한국판 홀로코스트 법안 필요성 & 정경심 교수, 공무집행방해 성립 요인은?- 신장식 변호사- 양지열 변호사- 신유진 변호사----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp"
"UaElJcQadPE","[후공개] 비가 절대 포기 못 하는 것들! (feat.화려한 조명)","2020-05-16T10:48:42Z","UCx6jsZ02B4K3SECUrkgPyzg","놀면 뭐하니?","24","20.18.05","유재석|김태호|무한도전|유플래시|유산슬|뽕포유|라섹|유르페우스|놀면 뭐하니|놀뭐|무도","2144431","40124","719","8087","https://i.ytimg.com/vi/UaElJcQadPE/default.jpg","False","False","비를 담기엔 놀면 뭐하니?가, 아니 대한민국이 너무 작다!방송에서 다 풀지 못한 이야기 시청자들을 위해 아낌없이 공개합니다![놀면 뭐하니?] 토요일 저녁 6시 30분 방송!"
"gZTjH8fQyy8","ENG] [몰카] 머리 망쳐 빡친 손님이 미용사 머리를 조진다면?!ㅋㅋㅋㅋㅋ미녀분들 리액션 레게노ㅋㅋㅋ - [동네놈들]","2020-05-17T10:30:03Z","UCIuFnJrRwHEUcIVtozJnUGA","동네놈들","23","20.18.05","관찰|관찰카메라|실험|실험카메라|prank|prankcam|prankcamera|prankvideo|prankgag|prankgags|gag|gags|fun|funny|funvideo|enjoy|개그|개그맨|개그우먼|여사친|미녀|웃참|웃긴영상|웃긴유튜버|재밌는영상|재밌는유튜버|역대급|레전드|리액션|레게노|미용실|미용|컷트|헤어|hair|cut|동네놈들|eng|engsub|헤어스타일|정재형|최부기|안진호|yt:cc=on|낄낄상회|수상한녀석들|욜로코믹스|킹기훈|보물섬|더블비|동네애들|장난|joke|hidden","506875","10587","417","1120","https://i.ytimg.com/vi/gZTjH8fQyy8/default.jpg","False","False","❤️촬영에 장소 제공을 해주신 '마끼에 타워팰리스점' 감사합니다 ❤️강남구 도곡동 467-24 우성캐릭터199 오피스텔 1층 120호🔥 구독 & 좋아요 & 알림설정 Click?!?! oh yeah!!!! 🔥💥동네놈들 페이스북💥 https://www.facebook.com/videodnnd💥동네놈들 공식 인스타그램💥 https://www.instagram.com/hoodboyz_dnnd💥동네놈들 공식 TIKTOK💥https://vt.tiktok.com/r6rtc9/🤡 개그맨 안진호 🤡 https://www.instagram.com/_zin_ho_🤡 개그맨 최부기🤡 https://www.instagram.com/choi_boogie🤡 개그맨 정재형 🤡https://www.instagram.com/star.jjj#몰카 #몰래카메라 #동네놈들 #小区小家伙 #prank #prankcam #미용실 #hair"
"iWwZxfcDGDQ","《부부의 세계》 준영이가 지선우를 떠난 진짜 이유 (결말 완전 분석)","2020-05-17T07:15:03Z","UCiiC3grOarOVIg5LZgXJnWw","민호타우르스","1","20.18.05","리뷰|부부의 세계|김희애|원작|드라마|jtbc|박해준|지선우|이태오|여다경|예고편|김윤기|준영이|결말|예상|마지막화|16화|해석","434541","4815","253","793","https://i.ytimg.com/vi/iWwZxfcDGDQ/default.jpg","False","False","부부의 세계 마지막회 16화. 준영이가 떠난 이유와 결말 분석 영상입니다.#부부의세계 #지선우 #이태오"
"H84VlEKEzb0","SUB) ASMR MUKBANG 이렇게맛있다고?! 쫀득꾸덕바삭달달!! 스모어딥&마시멜로우꼬치구이 먹방! NUTELLA S'MORES DIP Eating Sound!","2020-05-17T07:15:05Z","UCj-durTg1W7uWsB8oq0u7kA","엔조이커플enjoycouple","24","20.18.05","엔조이커플|enjoycouple|먹방|mukbang|kpop|민뚜|라라|커플|영상|동영상|레전드|웃긴|개그|웃음참기|유머|연인|엔조이|역대급|모음|웃음|legend|샌드박스|스모어딥|마시멜로|마시멜로우|smoredeep|꿀맛|김치|과자|조합","591466","16725","520","3269","https://i.ytimg.com/vi/H84VlEKEzb0/default.jpg","False","False","#NUTELLA #S'MORESDIP #스모어딥엔조이커플 구독하기♡ - https://www.youtube.com/enjoycouple?sub_confirmation=1엔조이커플 인스타그램  enjoycouple instagram ▶https://www.instagram.com/enjoycouple/엔조이커플 페이스북  enjoycouple facebook▶https://www.facebook.com/enjoycouple임라라  LimlalaYouTube   ▶ https://www.youtube.com/channel/UCvdbrSd_DuybjYNR2ye5q0Ainstagram ▶https://www.instagram.com/limlalaland/손민수 MindduYouTube   ▶ https://www.youtube.com/channel/UC9xA0-QdssBhy7OVRGnaCsginstagram ▶ https://www.instagram.com/minsoorrr/"
"PshcktDhMvQ","불황 이후, 완전히 달라질 세상에서 도태되지 않고 기회 잡는 법! - 팬데믹 특집","2020-05-17T21:00:07Z","UCnaGfDaiM-pM1l-SXYpq37Q","MKTV 김미경TV","27","20.18.05","MiKyung Kim|Kim MiKyung|Speaker|International Speaker|김미경TV|김미경티비|김미경|김미경강사|강사|고민|김미경 강의|유튜브대학|김미경의북드라마|mkkim|책추천|김용섭|언컨택트|코로나|팬데믹|사회적거리두기|트렌드|비접촉|비대면|언택트|uncontact|원격의료|원격교육|재택근무","138716","4890","125","3232","https://i.ytimg.com/vi/PshcktDhMvQ/default.jpg","False","False","팬데믹 특집*트렌드 분석가 김용섭날카로운상상력연구소 http://www.digitalcreator.co.kr/코로나 이후 우리의 삶이 어떻게 달라져 있을지, 여러분은 생각해 보신 적 있나요?오늘은 최신 트렌드를 조언하는 트렌드 분석가, 날카로운상상력연구소 김용섭 소장님이 나와주셨어요~김용섭 소장님께서는 불편한 소통보다‘편리한 단절’을 꿈꾸는 현대인의 욕망을 통해 미래를 전망 하셨는데요, 김용섭 소장님이 말하는 접촉 불안이 가져온 전혀 새로운 라이프스타일이 궁금하다면, 영상으로 확인해보세요 :-)*팬데믹 특집 『언컨택트 김용섭』편 댓글 이벤트김용섭 저자의 책 제목은 무엇일까요?1. 노컨택트2. 안컨택트3. 언컨택트10분을 선정해 김용섭 저자의 사인이 담긴 책을 보내드립니다!💜이벤트 기간 : 5월 18일 월요일 ~ 5월 25일 월요일💜당첨자 발표 : 5월 26일 화요일🌟『이 한마디가 나를 살렸다』 온라인 판매처 안내🌟 👉YES 24 http://bit.ly/2Tdf5Qx※오프라인 서점에서도 만나보실 수 있습니다^^❤ 잘 읽고 잘 쓰고 잘 말하고 싶다면 지금 바로 MK유튜브대학 공식 홈페이지를 방문해보세요!👉 http://mkyu.co.kr🧡 Global MKTV. 세계로 뻗어 나가는 MKTV의 행보가 궁금하다면? MKKim 유튜브 채널을 방문해보세요!👉 https://bit.ly/2RPn6LG💛 미경언니의 목소리를 베트남어로 듣고 싶다면?👉 https://bit.ly/2yslBMA💚 믿을만한 언니의 뼈 때리는 잔소리! 김미경의 고민상담 팟캐스트(팟빵) : 미경언니의 독한 상담소👉 https://bit.ly/2ytmRyS💙 유튜버 & 강사 김미경이 아닌, 미경 언니의 Real 일상생활 엿보기. 김미경의 인스타그램 👉 https://bit.ly/2KhMghw💜 내 꿈을 키우고 나를 성장시키고 싶은 사람들을 위한 세상에서 하나뿐인 ‘자기성장 스토어’ So It Begins, 쏘 잇 비긴즈(쏘잇비)👉 https://www.soitbegins.co.kr▶구독 : https://goo.gl/q2hA59▶카카오스토리 : https://story.kakao.com/ch/kimmikyung▶스타강사 김미경 방송을 놓치지 않고 모두 보려면 ‘구독’, ‘좋아요’ 클릭!#코로나 #김용섭 #언컨택트"
"F-5EBcgn5B0","[놀면 뭐하니? 선공개] 깡토피아로 가기 위한 비의 몸풀기 댄스, 지금은 깡 로딩중  ⚫⚫⚫⚪⚪","2020-05-16T04:23:25Z","UCx6jsZ02B4K3SECUrkgPyzg","놀면 뭐하니?","24","20.18.05","유재석|김태호|무한도전|유플래시|유산슬|뽕포유|라섹|유르페우스|놀면 뭐하니|놀뭐|무도|비|정지훈|깡|레이니즘|안녕이란말대신|댄스뮤직|여름음악|혼성그룹|연습생|1일3깡|깡팸|깡토피아","2022883","23591","565","6557","https://i.ytimg.com/vi/F-5EBcgn5B0/default.jpg","False","False","[놀면 뭐하니?] 토요일 저녁 6시 30분 방송!"
"vvukIb1I8dQ","[병맛노래] 막장드라마 송","2020-05-17T11:12:18Z","UCWhiqHa4dVohOTSUQwK-l2g","빨간내복야코","24","20.18.05","#병맛노래|#병맛송|#웃긴노래","192002","5966","111","1919","https://i.ytimg.com/vi/vvukIb1I8dQ/default.jpg","False","False","안녕하세요!병맛노래를 만들고 있는 빨간내복야코입니다재미있으셨다면 구독 한번 부탁드립니다!작곡 / 작사 / 노래 : 빨간내복야코믹스 / 마스터링 / 편집 : 하몽그림 : 빨간내복야코, 부비야코 페이스북 https://www.facebook.com/yacotop1야코 인스타그램 https://www.instagram.com/redpajamayaco/"
"LLaYMmb39Mg","[선공개] ‘트로트계 BTS’ 장민호, 별거 안해도 빠져드는 일상♥ (ft. 빨강 사랑)ㅣ미운 우리 새끼(Woori)ㅣSBS ENTER.","2020-05-17T00:00:05Z","UCmjNKt6kITwaZTqvWuaSPLg","SBS Entertainment","24","20.18.05","sbs|20200517|장민호|장민호예능|장민호미우새|장민호일상|장민호빨강사랑|미우새선공개|미운우리새끼선공개|미운우리새끼190회예고|미운우리새끼예고|미우새190회예고|미우새예고","457734","5750","189","614","https://i.ytimg.com/vi/LLaYMmb39Mg/default.jpg","False","False","예　능 | 미운 우리 새끼 190회본방송 | 5월 17일 일요일 오후 9시 5분SBS 일요일 예능 ‘미운 우리 새끼’☞ 일요일 밤 9시 05분 본 방송#미운우리새끼 #장민호미우새 #장민호일상▶ Hompage : https://www.sbs.co.kr/tv/enter▶ Subscribe SBS Entertainment : https://bit.ly/2SpOhMC"
